NomerMSKS,ZavNomer,Zakaz,ModulCSE,NoteCSE,NameCSE,VerSP,VerTP,VerTpUtv,ShtrihCod,NomerOpTP,CehNumber,CehSector,OperName,EtapNumber,NomerKT,Master,DataMaster,DateMasterTCS,RabOTK,DataOTK,DateOTKTCS,DataPred,DateIzgotovl
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117953,56,925,76,Электромонтаж,3,5,Гусева А.Н.,03.02.2020,2020-02-03 10:48:04.000,Ананьев Н.С.,07.02.2020,2020-02-03 10:48:04.000,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117954,61,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117955,66,925,76,Маркирование,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117956,71,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117957,76,925,76,Электромонтаж,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117958,81,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117959,86,925,76,Электромонтаж,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117960,91,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117961,96,925,76,Электромонтаж,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117962,101,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117963,106,925,76,Обезжиривание,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117964,111,925,76,Склеивание,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117965,116,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117966,121,925,76,Маркирование,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117967,126,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117968,131,925,76,Испытания электрические,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117969,136,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117970,141,925,76,Электромонтаж,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117971,146,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117972,151,925,76,Испытания электрические,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117973,156,925,76,Контроль,3,,,,,,,,,
925-20-1283,Н5А-047,20404750,П4-Монт,Н87755260,Электромонтаж системы охранной сигнализации блока ГТД,Версия 1,780-19,2019-11-15 09:00:47,117974,161,925,76,Электромонтаж,3,99,Гусева А.Н.,07.02.2020,2020-02-07 08:56:33.000,Ананьев Н.С.,07.02.2020,2020-02-07 08:56:33.000,07.02.2020,07.02.2020

